Name,Caption,Icon_color,Long,Lat,URL,Thumb_URL
Welcome to the City of Redlands,"Located about 60 miles east of Los Angeles, replete with cultural, artistic and historical sites. Redlands, emerging as a regional leader, boasts small-town charm, and features a world center of geospatial information technologies.  (<i><a href=""http://en.wikipedia.org/wiki/Redlands,_California"" target=""_blank"">More info</a></i>)",R,-117.182421,34.055448,http://esrimapbook.esri.com/GTKwebgis/chapter1/Cover.JPG,http://esrimapbook.esri.com/GTKwebgis/chapter1/thumbnails/cover.png
Esri,"Headquartered in Redlands, Esri is a world leader in GIS software. Founded by Jack and Laura Dangermond in 1969, Esri now has 10 regional offices in the U.S. and a network of 80 international distributors, with about a million users in 200 countries. (<i><a href=""http://www.esri.com"" target=""_blank"">Website</a></i>)",R,-117.195688,34.056932,http://esrimapbook.esri.com/GTKwebgis/chapter1/Esri.JPG,http://esrimapbook.esri.com/GTKwebgis/chapter1/thumbnails/esri.png
Redlands Bowl,"Built in 1930, the Redlands Bowl Procellis features free summer concerts on Tuesday and Friday evenings from late June through August. More than 100,000 guests enjoy this Redlands tradition each year.  <i><a href=""http://www.redlandsbowl.com/"" target=""_blank"">the theater website</a></i>",R,-117.184922,34.053552,http://esrimapbook.esri.com/GTKwebgis/chapter1/Redlands_bowl.JPG,http://esrimapbook.esri.com/GTKwebgis/chapter1/thumbnails/redlands_bowl.png
University of Redlands,"The 160-acre University, founded in 1907, is a highly ranked liberal arts university that includes Schools of Music, Business, and Education. It is home to the Redlands Symphony Orchestra, and annually presents over 200 music, arts, theatre, dance, and other cultural events.",R,-117.165481,34.061758,http://www.youtube.com/embed/epRY3eZLQSc#isVideo,http://esrimapbook.esri.com/GTKwebgis/chapter1/thumbnails/redlands_university_v.png
Lincoln Memorial Shrine,"The Lincoln Memorial Shrine, the only museum dedicated to Abraham Lincoln west of the Mississippi River, was designed by noted Southern California architect Elmer Grey and donated to the City of Redlands by Robert Watchorn in 1932. The construction of reinforced concrete is faced with Bedford Indiana limestone plates, upon which are inscribed excerpts from Lincoln's speeches.",R,-117.183519,34.053799,http://esrimapbook.esri.com/GTKwebgis/chapter1/Lincoln_shrine.JPG,http://esrimapbook.esri.com/GTKwebgis/chapter1/thumbnails/lincoln.png
Smiley Library,"The Moorish-style Smiley Library was constructed in 1898 by early Redlands benefactor Albert Smiley as a gift to the people of Redlands. Located in Smiley Park, it is a California Historic Landmark and is listed on the National Register of Historic Places.",R,-117.184012,34.054459,http://esrimapbook.esri.com/GTKwebgis/chapter1/AK_Smiley_library.JPG,http://esrimapbook.esri.com/GTKwebgis/chapter1/thumbnails/library.png
Brookside Post Office,"This Mission Revival-style structure was built by WPA craftsmen in the 1934 and is on the National Register of Historic Places. It includes a small museum featuring items of historic postal significance, both locally and nationally.",R,-117.185691,34.055174,http://esrimapbook.esri.com/GTKwebgis/chapter1/post_office.JPG,http://esrimapbook.esri.com/GTKwebgis/chapter1/thumbnails/post_office.png
San Bernardino County Museum,"The San Bernardino County Museum features displays of pioneer life, Indian relics, minerals and fossils, ornithology, anthropology, archaeology, earth science, natural history, and paleontology. More info at <i><a href=""http://www.co.san-bernardino.ca.us/museum/"" target=""_blank"">the museum website</a></i>",,-117.22298,34.068535,http://esrimapbook.esri.com/GTKwebgis/chapter1/Museum.jpg,http://esrimapbook.esri.com/GTKwebgis/chapter1/thumbnails/museum.png
Pharaoh's Adventure Park,"Pharaoh's Adventure Park (formerly Pharaoh's Lost Kingdom), is a 20-acre family entertainment complex that offers attractions like Splash Kingdom Water Park, miniature golf, go-kart tracks, and SkyTown jumping activities. More info at <i><a href=""http://splashkingdom.net/"" target=""_blank"">the museum website</a></i>",R,-117.226887,34.068046,http://esrimapbook.esri.com/GTKwebgis/chapter1/Pharaohs.jpg,http://esrimapbook.esri.com/GTKwebgis/chapter1/thumbnails/Pharaohs.png
Citrus Plaza,"Citrus Plaza is a regional shopping center located near I-10 and I-210 in Redlands, California. A central location in a growing trade area and an outstanding mix of prominent national retail tenants makes it a popular shopping destination.",R,-117.20488,34.072526,http://esrimapbook.esri.com/GTKwebgis/chapter1/Citrus_Plaza.jpg,http://esrimapbook.esri.com/GTKwebgis/chapter1/thumbnails/Citrus_Plaza.png
Krikorian Premiere Theatres,"See movie information and show times at <i><a href=""http://www.kptmovies.com/"" target=""_blank"">the theater website</a></i>",R,-117.18538,34.058519,http://esrimapbook.esri.com/GTKwebgis/chapter1/Krikorian.jpg,http://esrimapbook.esri.com/GTKwebgis/chapter1/thumbnails/Krikorian.png
Market Night,"Every Thursdays from 6pm to 9pm. This is one of the most successful certified farmers markets in Southern California. Visitors are pleasantly surrounded by an inviting atmosphere complete with hundreds of food and merchandise booths, lighted trees, and great musical entertainment.",R,,,http://esrimapbook.esri.com/GTKwebgis/chapter1/Night_Market.JPG,http://esrimapbook.esri.com/GTKwebgis/chapter1/thumbnails/Night_Market.png
