Rank_2012,City,State,Census_2010,Estimate_2012,Growth_Rate,Pop_Density_2010,Wikipedia_URL,Picture_URL
1,New York,New York,8175133,8336697,0.0198,27012,http://en.wikipedia.org/wiki/New_York_City,http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Seal_of_New_York_City.svg/200px-Seal_of_New_York_City.svg.png
2,Los Angeles,California,3792621,3857799,,8092,"http://en.wikipedia.org/wiki/Los_Angeles,_California",http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Seal_of_Los_Angeles%2C_California.svg/200px-Seal_of_Los_Angeles%2C_California.svg.png
3,Chicago,Illinois,2695598,2714856,0.0071,11842,"http://en.wikipedia.org/wiki/Chicago,_Illinois",http://upload.wikimedia.org/wikipedia/commons/e/ec/Chicago_city_seal.png
4,Houston,Texas,2100263,2160821,0.0288,3501,"http://en.wikipedia.org/wiki/Houston,_Texas",http://upload.wikimedia.org/wikipedia/en/f/f4/Seal_of_Houston%2C_Texas.png
5,Philadelphia,Pennsylvania,1526006,1547607,0.0142,11379,"http://en.wikipedia.org/wiki/Philadelphia,_Pennsylvania",http://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Seal_of_Philadelphia%2C_Pennsylvania.svg/200px-Seal_of_Philadelphia%2C_Pennsylvania.svg.png
6,Phoenix,Arizona,1445632,1488750,0.0298,2798,"http://en.wikipedia.org/wiki/Phoenix,_Arizona",http://upload.wikimedia.org/wikipedia/en/thumb/b/b1/Phoenix-logo.svg/200px-Phoenix-logo.svg.png
7,San Antonio,Texas,1327407,1382951,0.0418,2880,"http://en.wikipedia.org/wiki/San_Antonio,_Texas",http://upload.wikimedia.org/wikipedia/en/f/f7/Sanantonioseal.jpeg
8,San Diego,California,1307402,1338348,0.0237,4020,"http://en.wikipedia.org/wiki/San_Diego,_California",http://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Seal_Of_San_Diego%2C_California.svg/200px-Seal_Of_San_Diego%2C_California.svg.png
9,Dallas,Texas,1197816,1241162,0.0362,3518,"http://en.wikipedia.org/wiki/Dallas,_Texas",http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Seal_of_Dallas.svg/200px-Seal_of_Dallas.svg.png
10,San Jose,California,945942,982765,0.0389,5359,"http://en.wikipedia.org/wiki/San_Jose,_California",http://upload.wikimedia.org/wikipedia/commons/2/25/Seal_of_San_Jose%2C_California.png
11,Austin,Texas,790390,842592,0.066,2653,"http://en.wikipedia.org/wiki/Austin,_Texas",http://upload.wikimedia.org/wikipedia/en/7/73/Seal_of_Austin%2C_TX.png
12,Jacksonville,Florida,821784,836507,0.0179,1100,"http://en.wikipedia.org/wiki/Jacksonville,_Florida",http://upload.wikimedia.org/wikipedia/commons/9/90/Seal_of_Jacksonville%2C_Florida.png
13,Indianapolis,Indiana,820445,834852,0.0176,2270,"http://en.wikipedia.org/wiki/Indianapolis,_Indiana",http://upload.wikimedia.org/wikipedia/en/8/89/Indianapolis_Seal.png
14,San Francisco,California,805235,825863,0.0256,17179,"http://en.wikipedia.org/wiki/San_Francisco,_California",http://upload.wikimedia.org/wikipedia/en/1/16/Sfseal.png
15,Columbus,Ohio,787033,809798,0.0289,3624,"http://en.wikipedia.org/wiki/Columbus,_Ohio",http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Seal_of_Columbus_Ohio.svg/200px-Seal_of_Columbus_Ohio.svg.png
